Player,GP,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,pfr,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,eFG,ast_tov
"Salaun, Tidjane",33.0,22.7,0.6,9.0,1.4,2.7,4.0,1.0,1.2,0.2,2.5,1.5,3.6,0.425,1.4,4.2,0.329,1.7,2.2,0.767,0.546,45.57,0.6666666667
"Filipowski, Kyle",36.0,30.4,0.8,16.4,2.2,6.1,8.3,2.8,1.1,1.5,3.0,5.0,9.0,0.559,1.1,3.1,0.348,3.1,4.6,0.671,0.662,54.959,1.333333333
"da Silva, Tristan",34.0,33.8,0.8,16.0,0.9,4.1,5.1,2.4,1.1,0.6,2.0,3.9,7.0,0.559,1.9,4.8,0.395,2.5,3.0,0.835,0.657,57.203,1.333333333
"Smith, Tyler",43.0,22.2,0.6,13.7,1.7,3.4,5.1,1.3,0.8,0.9,2.6,3.6,6.6,0.546,1.4,3.7,0.36,1.4,1.9,0.732,0.645,54.453,1.055555556
"Missi, Yves",34.0,22.9,0.6,10.7,2.6,3.0,5.6,0.4,0.6,1.5,2.4,4.1,6.7,0.614,0.0,0.0,0.0,2.5,4.1,0.616,0.767,61.194,0.3636363636
"Furphy, Johnny",33.0,24.1,0.6,9.0,1.3,3.6,4.9,1.0,0.9,0.3,2.1,1.6,2.5,0.642,1.3,3.8,0.352,1.9,2.5,0.765,0.688,57.258,1.25
"Edey, Zach",39.0,32.0,0.8,25.2,4.6,7.5,12.2,2.0,0.3,2.2,1.9,8.6,13.8,0.624,0.0,0.1,0.5,7.9,11.2,0.711,0.893,62.319,0.8695652174
"Tyson, Jaylon",31.0,34.3,0.9,19.6,1.6,5.1,6.8,3.5,1.2,0.5,2.1,5.5,10.9,0.509,1.6,4.5,0.36,3.6,4.6,0.796,0.622,51.948,1.129032258
"Ware, Kel'el",30.0,32.2,0.8,15.9,2.1,7.8,9.9,1.5,0.6,1.9,2.0,5.7,9.4,0.609,0.6,1.3,0.425,2.8,4.5,0.634,0.724,61.682,0.9375
"Kolek, Tyler",31.0,33.0,0.8,15.3,0.7,4.2,4.9,7.7,1.6,0.2,1.0,4.1,7.4,0.552,1.5,3.9,0.388,2.6,3.0,0.851,0.655,56.195,2.655172414
"Carrington, Carlton",33.0,33.2,0.8,13.8,0.5,4.7,5.2,4.1,0.6,0.2,2.4,2.8,5.6,0.511,2.0,6.1,0.322,2.2,2.8,0.785,0.573,49.573,2.157894737
"George, Kyshawn",31.0,23.0,0.6,7.6,0.5,2.6,3.0,2.2,0.9,0.4,1.8,0.9,1.9,0.467,1.7,4.2,0.408,0.7,0.9,0.778,0.59,56.557,1.466666667
"Holmes II, DaRon",33.0,32.5,0.8,20.4,1.7,6.8,8.5,2.6,0.9,2.1,2.0,5.6,9.6,0.585,1.0,2.5,0.386,6.2,8.8,0.713,0.822,58.678,1.181818182
"Klintman, Bobi",23.0,21.3,0.5,9.7,0.7,4.1,4.8,0.7,0.8,0.5,2.7,1.9,3.6,0.53,1.3,3.7,0.357,2.0,2.5,0.793,0.634,52.74,0.4375
"Dunn, Ryan",34.0,27.5,0.7,8.1,2.2,4.7,6.9,0.8,1.3,2.3,2.1,3.1,5.1,0.618,0.2,1.0,0.2,1.2,2.3,0.532,0.639,57.377,1
"McCullar Jr, Kevin",26.0,34.2,0.9,18.3,0.8,5.2,6.0,4.1,1.5,0.4,1.9,4.6,9.0,0.515,1.5,4.5,0.333,4.6,5.7,0.805,0.66,50.741,1.64
