Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Steven Verplancken,32.0,33.0,12.1,4.2,9.9,42.7,2.2,5.8,38.4,1.5,1.8,82.5,53.535353535353536,2.8,1.3,0.7,0.0,1.625
Airion Simmons,33.0,25.0,12.1,4.3,10.2,41.7,0.6,2.2,28.4,2.9,4.4,66.9,45.09803921568628,6.3,2.2,1.2,0.5,1.1578947368421053
Jadon Jones,34.0,30.4,12.1,3.8,9.1,41.9,2.3,6.0,37.7,2.2,2.6,85.2,54.395604395604394,3.3,1.6,1.8,1.0,1.4545454545454546
KJ Jenkins,31.0,25.7,12.1,4.2,10.3,41.2,2.7,7.4,37.0,0.9,1.1,82.4,53.883495145631066,2.4,0.9,0.9,0.0,1.2857142857142858
Max Mackinnon,32.0,27.0,12.1,4.6,10.3,45.0,1.6,4.4,36.4,1.3,1.8,70.2,52.427184466019405,4.8,2.6,0.8,0.2,1.2380952380952381
Sebastian Mack,33.0,26.8,12.1,3.7,9.6,38.7,0.8,3.0,28.3,3.8,5.2,72.7,42.70833333333334,3.6,1.6,1.3,0.1,1.0
Shemar Wilson,34.0,30.1,12.1,4.0,7.7,51.7,0.1,0.6,22.7,3.9,5.6,70.5,52.5974025974026,7.7,1.3,0.7,1.9,0.7647058823529412
Coleman Hawkins,35.0,31.6,12.1,4.1,9.1,45.1,1.7,4.6,36.9,2.2,2.7,79.2,54.395604395604394,6.1,2.7,1.5,1.1,1.6875
KiAndre Gaddy,35.0,28.1,12.1,4.9,8.8,55.8,0.0,0.1,0.0,2.3,3.5,64.8,55.68181818181818,6.8,1.1,1.0,1.5,0.7333333333333334
Ante Brzovic,35.0,22.6,12.1,4.9,10.4,46.7,0.5,2.2,22.1,1.9,2.9,65.3,49.519230769230774,6.3,2.4,0.4,0.4,1.411764705882353
Duncan Powell,29.0,26.4,12.1,4.5,9.1,49.2,0.5,1.7,28.6,2.6,3.8,68.5,52.197802197802204,7.0,2.0,0.5,0.3,1.1764705882352942
Frank Mitchell,31.0,28.9,12.1,5.2,9.3,56.1,0.1,0.3,33.3,1.6,3.7,43.0,56.4516129032258,11.6,1.5,0.7,0.9,0.75
AJ Clayton,33.0,26.2,12.0,4.2,8.4,49.6,2.2,5.5,40.1,1.5,1.8,81.4,63.0952380952381,4.7,0.8,0.5,1.8,0.8
Ja'Monta Black,35.0,35.8,12.0,3.8,9.4,40.4,3.2,8.2,39.5,1.2,1.6,75.0,57.446808510638306,3.6,0.8,1.1,0.1,1.6
Aboubacar Traore,36.0,30.9,12.0,4.1,8.0,51.7,0.1,0.6,8.7,3.7,5.6,66.5,51.87499999999999,8.4,4.5,1.5,1.4,1.7307692307692306
Chris Bell,32.0,27.1,12.0,4.2,9.7,43.4,2.6,6.3,42.0,1.0,1.2,84.2,56.70103092783506,2.3,0.7,0.6,0.7,0.8749999999999999
Terence Harcum,34.0,28.2,12.0,3.9,10.4,37.5,2.1,6.0,35.6,2.0,2.5,80.2,47.59615384615385,2.5,1.0,0.7,0.1,1.0
Braden Smith,39.0,34.0,12.0,4.4,10.1,44.1,1.4,3.3,43.1,1.7,2.1,79.5,50.49504950495051,5.8,7.5,1.6,0.1,2.7777777777777777
Josh Scovens,32.0,31.0,12.0,4.4,10.9,40.0,1.4,4.3,32.1,1.9,2.8,66.7,46.788990825688074,5.4,1.9,0.7,1.1,1.0555555555555556
TJ Long,35.0,28.4,12.0,4.1,9.6,42.6,2.2,6.1,36.3,1.6,2.0,81.2,54.166666666666664,4.0,1.4,1.0,0.4,1.4
Charlie Easley,34.0,33.2,12.0,4.1,9.1,45.6,2.0,5.0,39.4,1.7,1.9,89.2,56.043956043956044,5.4,2.3,2.1,0.1,1.9166666666666665
DQ Nicholas,33.0,31.0,12.0,4.1,10.2,39.8,1.4,3.9,35.9,2.5,3.8,64.8,47.05882352941176,4.0,2.8,0.8,0.2,1.5555555555555554
